date,projected_mortality,province_state,county
2020-05-14,29.118802363751755,Florida,Hillsborough
2020-05-15,29.38655885562655,Florida,Hillsborough
2020-05-16,29.64458793613939,Florida,Hillsborough
2020-05-03,44.53535785182229,Florida,Manatee
2020-05-04,44.55266467915113,Florida,Manatee
2020-05-05,44.5626918691249,Florida,Manatee
2020-05-06,44.568500948993496,Florida,Manatee
2020-05-07,44.571866188208354,Florida,Manatee
2020-05-08,44.573815643284284,Florida,Manatee
2020-05-09,44.574944929362765,Florida,Manatee
2020-05-10,44.57559909981524,Florida,Manatee
2020-05-11,44.575978044374985,Florida,Manatee
2020-05-12,44.57619755682463,Florida,Manatee
2020-05-13,44.57632471430059,Florida,Manatee
2020-05-14,44.57639837302846,Florida,Manatee
2020-05-15,44.57644104142101,Florida,Manatee
2020-05-16,44.576465757991265,Florida,Manatee
2020-05-03,406.67140734903137,Florida,Miami-Dade
2020-05-04,417.5222355178264,Florida,Miami-Dade
2020-05-05,427.70645427021776,Florida,Miami-Dade
2020-05-06,437.2419242927928,Florida,Miami-Dade
2020-05-07,446.1497740457149,Florida,Miami-Dade
2020-05-08,454.45372404827464,Florida,Miami-Dade
2020-05-09,462.17946015182355,Florida,Miami-Dade
2020-05-10,469.3540637778717,Florida,Miami-Dade
2020-05-11,476.00550365837626,Florida,Miami-Dade
2020-05-12,482.1621907229573,Florida,Miami-Dade
2020-05-13,487.8525954508997,Florida,Miami-Dade
2020-05-14,493.10492522275734,Florida,Miami-Dade
2020-05-15,497.94685791944505,Florida,Miami-Dade
2020-05-16,502.4053271627086,Florida,Miami-Dade
2020-05-03,34.37329947335561,Florida,Orange
2020-05-04,34.71815412577864,Florida,Orange
2020-05-05,35.028871028290254,Florida,Orange
2020-05-06,35.30802946530308,Florida,Orange
2020-05-07,35.55819057985134,Florida,Orange
2020-05-08,35.78185035842727,Florida,Orange
2020-05-09,35.981404593800434,Florida,Orange
2020-05-10,36.159124205666956,Florida,Orange
2020-05-11,36.31713924524166,Florida,Orange
2020-05-12,36.45742997235029,Florida,Orange
2020-05-13,36.58182352901619,Florida,Orange
2020-05-14,36.69199490822294,Florida,Orange
2020-05-15,36.78947110577718,Florida,Orange
2020-05-16,36.87563753013805,Florida,Orange
2020-05-03,27.964063315134304,Florida,St. Lucie
2020-05-04,29.014965609764857,Florida,St. Lucie
2020-05-05,30.033348691664813,Florida,St. Lucie
2020-05-06,31.01849423458674,Florida,St. Lucie
2020-05-07,31.969875892148885,Florida,St. Lucie
2020-05-08,32.887150713121294,Florida,St. Lucie
2020-05-09,33.77014910684532,Florida,St. Lucie
2020-05-10,34.618863656290884,Florida,St. Lucie
2020-05-11,35.43343706826756,Florida,St. Lucie
2020-05-12,36.214149535585086,Florida,St. Lucie
2020-05-13,36.96140576591858,Florida,St. Lucie
2020-05-14,37.67572190817971,Florida,St. Lucie
2020-05-15,38.35771258066148,Florida,St. Lucie
2020-05-16,39.00807817732468,Florida,St. Lucie
2020-05-03,13.547072342813816,Florida,Sumter
2020-05-04,13.569198111490426,Florida,Sumter
2020-05-05,13.587319723179085,Florida,Sumter
2020-05-06,13.60215485118741,Florida,Sumter
2020-05-07,13.614294853981786,Florida,Sumter
2020-05-08,13.624226234416739,Florida,Sumter
2020-05-09,13.632348714441864,Florida,Sumter
2020-05-10,13.638990368457787,Florida,Sumter
2020-05-11,13.644420234001098,Florida,Sumter
2020-05-12,13.648858780510773,Florida,Sumter
2020-05-13,13.652486573573347,Florida,Sumter
2020-05-14,13.655451428141678,Florida,Sumter
2020-05-15,13.657874302568295,Florida,Sumter
2020-05-16,13.65985414733342,Florida,Sumter
2020-05-03,12.10237340598093,Florida,Suwannee
2020-05-04,12.169282515421873,Florida,Suwannee
2020-05-05,12.222185802976055,Florida,Suwannee
2020-05-06,12.263945802622338,Florida,Suwannee
2020-05-07,12.296866588657835,Florida,Suwannee
2020-05-08,12.322792377519537,Florida,Suwannee
2020-05-09,12.343192885139414,Florida,Suwannee
2020-05-10,12.35923539595435,Florida,Suwannee
2020-05-11,12.371844533218383,Florida,Suwannee
2020-05-12,12.38175118248377,Florida,Suwannee
2020-05-13,12.389532145700919,Florida,Suwannee
2020-05-14,12.39564204463056,Florida,Suwannee
2020-05-15,12.400438843654115,Florida,Suwannee
2020-05-16,12.404204179549419,Florida,Suwannee
2020-05-03,24.40442868989335,Georgia,Bartow
2020-05-04,24.40832054651854,Georgia,Bartow
2020-05-05,24.411044739998864,Georgia,Bartow
2020-05-06,24.412951521574737,Georgia,Bartow
2020-05-07,24.41428612201068,Georgia,Bartow
2020-05-08,24.415220220567623,Georgia,Bartow
2020-05-09,24.415873994992094,Georgia,Bartow
2020-05-10,24.416331566321546,Georgia,Bartow
2020-05-11,24.416651814478243,Georgia,Bartow
2020-05-12,24.41687595085274,Georgia,Bartow
2020-05-13,24.41703281964613,Georgia,Bartow
2020-05-14,24.417142608872783,Georgia,Bartow
2020-05-15,24.417219447954416,Georgia,Bartow
2020-05-16,24.417273225885996,Georgia,Bartow
2020-05-03,13.735765898310293,Georgia,Carroll
2020-05-04,13.766250805523013,Georgia,Carroll
2020-05-05,13.785035464734628,Georgia,Carroll
2020-05-06,13.796605466133885,Georgia,Carroll
2020-05-07,13.803729852786086,Georgia,Carroll
2020-05-08,13.808116069706488,Georgia,Carroll
2020-05-09,13.810816225003792,Georgia,Carroll
2020-05-10,13.812478337064269,Georgia,Carroll
2020-05-11,13.813501430243855,Georgia,Carroll
2020-05-12,13.814131168123554,Georgia,Carroll
2020-05-13,13.814518780941262,Georgia,Carroll
2020-05-14,13.814757360128676,Georgia,Carroll
2020-05-15,13.814904206962604,Georgia,Carroll
2020-05-16,13.814994591709665,Georgia,Carroll
2020-05-03,9.007159500625292,Georgia,Cherokee
2020-05-04,9.009478845805182,Georgia,Cherokee
2020-05-05,9.011298942799062,Georgia,Cherokee
2020-05-06,9.01272717526211,Georgia,Cherokee
2020-05-07,9.013847860949776,Georgia,Cherokee
2020-05-08,9.014727194199374,Georgia,Cherokee
2020-05-09,9.0154171339928,Georgia,Cherokee
2020-05-10,9.015958460758725,Georgia,Cherokee
2020-05-11,9.016383178535726,Georgia,Cherokee
2020-05-12,9.016716402015543,Georgia,Cherokee
2020-05-13,9.016977838512267,Georgia,Cherokee
2020-05-14,9.01718295155457,Georgia,Cherokee
2020-05-15,9.017343874341403,Georgia,Cherokee
2020-05-16,9.01747012673572,Georgia,Cherokee
2020-05-03,11.652867208257113,Georgia,Clarke
2020-05-04,11.680305436530809,Georgia,Clarke
2020-05-05,11.705003247963347,Georgia,Clarke
2020-05-06,11.727222803401688,Georgia,Clarke
2020-05-07,11.74720344239222,Georgia,Clarke
2020-05-08,11.765163219089308,Georgia,Clarke
2020-05-09,11.781300430679437,Georgia,Clarke
2020-05-10,11.795795112808161,Georgia,Clarke
2020-05-11,11.80881048331631,Georgia,Clarke
2020-05-12,11.820494321148576,Georgia,Clarke
2020-05-13,11.830980271763643,Georgia,Clarke
2020-05-14,11.840389073913993,Georgia,Clarke
2020-05-15,11.848829705423688,Georgia,Clarke
2020-05-16,11.856400447707447,Georgia,Clarke
2020-05-03,130.53163469221903,Georgia,Dougherty
2020-05-04,132.24157330885305,Georgia,Dougherty
2020-05-05,133.8553113212848,Georgia,Dougherty
2020-05-06,135.37630629236637,Georgia,Dougherty
2020-05-07,136.80815391542376,Georgia,Dougherty
2020-05-08,138.15454398322044,Georgia,Dougherty
2020-05-09,139.4192208957643,Georgia,Dougherty
2020-05-10,140.60594867252695,Georgia,Dougherty
2020-05-11,141.7184803458071,Georgia,Dougherty
2020-05-12,142.76053154305012,Georgia,Dougherty
2020-05-13,143.73575801502324,Georgia,Dougherty
2020-05-14,144.64773683167715,Georgia,Dougherty
2020-05-15,145.49995094602866,Georgia,Dougherty
2020-05-16,146.29577681623982,Georgia,Dougherty
2020-05-03,9.753194949083664,Georgia,Fayette
2020-05-04,9.776405465775248,Georgia,Fayette
2020-05-05,9.789955395289212,Georgia,Fayette
2020-05-06,9.797862266778715,Georgia,Fayette
2020-05-07,9.802475066554173,Georgia,Fayette
2020-05-08,9.805165744264606,Georgia,Fayette
2020-05-09,9.806735102527334,Georgia,Fayette
2020-05-10,9.80765039761815,Georgia,Fayette
2020-05-11,9.80818420883676,Georgia,Fayette
2020-05-12,9.808495528811886,Georgia,Fayette
2020-05-13,9.808677089590123,Georgia,Fayette
2020-05-14,9.80878297463142,Georgia,Fayette
2020-05-15,9.808844725879876,Georgia,Fayette
2020-05-16,9.808880738608877,Georgia,Fayette
2020-05-03,11.082143180855738,Georgia,Floyd
2020-05-04,11.094927685697,Georgia,Floyd
2020-05-05,11.103051956288457,Georgia,Floyd
2020-05-06,11.10821171779715,Georgia,Floyd
2020-05-07,11.111487483025574,Georgia,Floyd
2020-05-08,11.11356666731333,Georgia,Floyd
2020-05-09,11.114886162680836,Georgia,Floyd
2020-05-10,11.115723463071234,Georgia,Floyd
2020-05-11,11.116254749114574,Georgia,Floyd
2020-05-12,11.116591849171858,Georgia,Floyd
2020-05-13,11.116805733346673,Georgia,Floyd
2020-05-14,11.116941437068164,Georgia,Floyd
2020-05-15,11.117027536562077,Georgia,Floyd
2020-05-16,11.117082163484529,Georgia,Floyd
2020-05-03,9.161011727090893,Georgia,Forsyth
2020-05-04,9.171192570987749,Georgia,Forsyth
2020-05-05,9.178717609175807,Georgia,Forsyth
2020-05-06,9.184278113038564,Georgia,Forsyth
2020-05-07,9.18838612108958,Georgia,Forsyth
2020-05-08,9.191420593474742,Georgia,Forsyth
2020-05-09,9.193661825937598,Georgia,Forsyth
2020-05-10,9.195317043275331,Georgia,Forsyth
2020-05-11,9.196539396894943,Georgia,Forsyth
2020-05-12,9.197442046687865,Georgia,Forsyth
2020-05-13,9.198108588466082,Georgia,Forsyth
2020-05-14,9.198600769505664,Georgia,Forsyth
2020-05-15,9.198964194310847,Georgia,Forsyth
2020-05-16,9.199232542384307,Georgia,Forsyth
2020-05-03,47.50682422198614,Georgia,Gwinnett
2020-05-04,47.519941978969925,Georgia,Gwinnett
2020-05-05,47.528599749974006,Georgia,Gwinnett
2020-05-06,47.534312981620445,Georgia,Gwinnett
2020-05-07,47.538082717005025,Georgia,Gwinnett
2020-05-08,47.540569907681274,Georgia,Gwinnett
2020-05-09,47.54221082599682,Georgia,Gwinnett
2020-05-10,47.54329338463327,Georgia,Gwinnett
2020-05-11,47.544007563583094,Georgia,Gwinnett
2020-05-12,47.544478711009276,Georgia,Gwinnett
2020-05-13,47.54478952656677,Georgia,Gwinnett
2020-05-14,47.544994570126754,Georgia,Gwinnett
2020-05-15,47.54512983587584,Georgia,Gwinnett
2020-05-16,47.54521906948205,Georgia,Gwinnett
2020-05-03,13.234244895871644,Georgia,Henry
2020-05-04,13.532296568975362,Georgia,Henry
2020-05-05,13.798103361278464,Georgia,Henry
2020-05-06,14.034050141422071,Georgia,Henry
2020-05-07,14.242625351556994,Georgia,Henry
2020-05-08,14.42633007968334,Georgia,Henry
2020-05-09,14.587608548627564,Georgia,Henry
2020-05-10,14.728797828587222,Georgia,Henry
2020-05-11,14.852093957235054,Georgia,Henry
2020-05-12,14.959531474327633,Georgia,Henry
2020-05-13,15.052973498034778,Georgia,Henry
2020-05-14,15.134109764781888,Georgia,Henry
2020-05-15,15.204460430996336,Georgia,Henry
2020-05-16,15.265383830483236,Georgia,Henry
2020-05-03,9.788597763464534,Georgia,Houston
2020-05-04,9.82240207137097,Georgia,Houston
2020-05-05,9.852867208257091,Georgia,Houston
2020-05-06,9.880305436530787,Georgia,Houston
2020-05-07,9.905003247963322,Georgia,Houston
2020-05-08,9.927222803401662,Georgia,Houston
2020-05-09,9.947203442392196,Georgia,Houston
2020-05-10,9.965163219089282,Georgia,Houston
2020-05-11,9.981300430679411,Georgia,Houston
2020-05-12,9.995795112808134,Georgia,Houston
2020-05-13,10.008810483316285,Georgia,Houston
2020-05-14,10.020494321148547,Georgia,Houston
2020-05-15,10.030980271763614,Georgia,Houston
2020-05-16,10.040389073913964,Georgia,Houston
2020-05-03,15.0,Georgia,Lee
2020-05-04,15.0,Georgia,Lee
2020-05-05,15.0,Georgia,Lee
2020-05-06,15.0,Georgia,Lee
